area_id,area_name,area_type,year,female_full_time_median_earnings,female_median_earnings,male_full_time_median_earnings,male_median_earnings,median_earnings,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,median_earnings_high_school,median_earnings_less_than_high_school,median_earnings_some_college_or_associates,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_1_to_9999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000
1600000US5408956,Bolt- WV,region.place,2013,0,20189,60859,27401,22382,0,0,26020,0,21324,0,27.2,0,25.2,0,10.6,19.2,17.9,0
1600000US5426716,Falling Waters- WV,region.place,2013,38977,23021,51838,27460,25513,16856,0,26920,13587,49500,0,10.2,0,31.8,11,21.2,0,21.6,4.2
1600000US5483332,Verdunville- WV,region.place,2013,57781,19554,38313,37750,30234,0,0,17083,0,38906,9.8,22.8,0,8.3,20.7,32.6,0,0,5.7
1600000US5467396,Red Jacket- WV,region.place,2013,22071,23173,17500,15096,20214,0,0,16923,0,26591,0,68.2,0,20.9,0,10.9,0,0,0
1600000US5473444,Shenandoah Junction- WV,region.place,2013,43542,36424,34079,32763,35243,0,0,19188,0,41705,4.1,6.9,0,16.1,32.6,18.8,3.7,8.3,9.6
1600000US5432908,Grant Town- WV,region.place,2013,29000,20865,43750,25833,21583,36667,49500,20192,25417,40000,4.6,22.7,7.7,14.4,14.4,23.2,2.6,8.8,1.5
1600000US5463052,Peterstown- WV,region.place,2013,32823,23594,39282,38830,32702,36750,0,38032,0,33105,0,18,0,28.6,34.4,16.9,2.1,0,0
1600000US5470468,Rossmore- WV,region.place,2013,0,11250,53828,53359,25517,0,0,68365,0,25714,11.2,9,0,21.6,0,30.6,9.7,6,11.9
1600000US5411716,Burnsville- WV,region.place,2013,20938,18125,43750,26500,22083,0,52656,20893,14821,26136,9.2,22.7,8,19,17.2,21.5,0,1.2,1.2
1600000US5415916,Clearview- WV,region.place,2013,41563,21167,45625,38500,28500,47083,41094,28854,0,25750,8.9,14.3,2,13.3,23.2,17.7,3.4,8.4,8.9
1600000US5431756,Glen Fork- WV,region.place,2013,0,35033,58958,40329,35197,0,0,57917,0,0,0,0,0,16.4,42.5,41,0,0,0
1600000US5415676,Clay- WV,region.place,2013,16641,16250,31458,24922,23092,0,43846,22656,0,27857,17.7,29.3,1.4,23.1,25.2,3.4,0,0,0
1600000US5465284,Powellton- WV,region.place,2013,22083,22000,24643,24643,23304,0,0,31042,0,22000,0,42.2,21.5,0,18.5,8.9,0,8.9,0
1600000US5485900,West Logan- WV,region.place,2013,29792,20417,39688,30750,25469,48750,40500,17375,0,29375,6.9,20.8,0,21.5,20,7.7,3.1,16.9,3.1
1600000US5478796,Switzer- WV,region.place,2013,0,26250,25938,19792,19831,0,0,53350,0,18984,0,32.3,0,32.3,0,19.4,5.4,0,10.8
1600000US5410876,Bruno- WV,region.place,2013,0,40641,0,26700,37750,0,0,38063,0,34722,0,0,0,0,54.9,22.5,0,0,22.5
1600000US5440828,Jane Lew- WV,region.place,2013,37143,27250,34931,34350,33750,55250,66875,32794,31429,42500,2,12.6,0,32.7,17.6,16.6,4,13.1,1.5
1600000US5482732,Valley Grove- WV,region.place,2013,31719,22000,40357,38214,31250,42500,0,32500,18125,51875,2.9,25.6,0,18.8,21.7,15.9,7.2,6.3,1.4
1600000US5465356,Pratt- WV,region.place,2013,34808,32250,58906,40795,34074,34554,100000,34231,0,42273,1.6,5.7,0,24.4,17.1,21.1,12.2,9.8,8.1
1600000US5486836,Whitesville- WV,region.place,2013,24135,14167,58125,40104,25568,0,0,34821,9750,26364,9.1,16.2,0,23.2,13.1,7.1,13.1,15.2,3
1600000US5430772,Gilbert- WV,region.place,2013,34375,19904,63125,23036,22361,43214,48295,16875,20938,50938,12.4,18,9.9,6.8,14.9,19.9,1.9,8.1,8.1
1600000US5487892,Windsor Heights- WV,region.place,2013,31458,16354,41250,38854,23913,32292,0,28125,27500,38417,0.6,26.6,0,14.7,27.7,23.7,1.1,2.3,3.4
1600000US5480020,Thomas- WV,region.place,2013,20417,11726,29107,24500,18641,22500,21000,20000,11500,19000,3.7,34.3,4.6,38.9,8.3,0,2.8,7.4,0
1600000US5426932,Farmington- WV,region.place,2013,16750,13917,34402,32554,21111,38125,0,20417,75536,31667,6.3,23.6,2.1,30.6,9,6.9,2.1,18.1,1.4
1600000US5459428,Northfork- WV,region.place,2013,22083,17250,29500,29250,22031,47500,0,24773,0,16750,0,37.6,20,12.9,21.2,7.1,0,1.2,0
1600000US5442244,Junior- WV,region.place,2013,16500,13523,39286,24306,16023,0,50625,21932,16042,14250,25,29,0,8.1,20.2,8.1,0,4.8,4.8
1600000US5444188,Kistler- WV,region.place,2013,0,16591,0,15464,15734,0,0,15272,0,0,38.3,0,0,0,30.9,30.9,0,0,0
1600000US5467636,Reedsville- WV,region.place,2013,25536,20938,44167,40250,25109,26364,27222,42500,4643,17188,17.3,15.4,1.2,16,24.1,14.8,1.2,2.5,7.4
1600000US5455372,Montcalm- WV,region.place,2013,17589,16827,12468,16111,16534,0,0,19375,16154,12019,39,22.9,0,22,11.9,0,0,0,4.2
1600000US5458300,Newburg- WV,region.place,2013,27750,16250,45833,22083,20096,19583,0,19750,0,17083,7.9,22.8,0,17.8,16.8,18.8,3,12.9,0
1600000US5430724,Ghent- WV,region.place,2013,0,28850,99417,76667,40767,42358,0,60655,0,0,16,0,0,16.7,0,14,0,14,39.3
1600000US5437372,Hillsboro- WV,region.place,2013,46875,12917,27222,13986,13837,28750,0,14676,7083,14875,17.7,7.3,0,42.7,21.9,10.4,0,0,0
1600000US5436628,Hepzibah- WV,region.place,2013,50952,15121,68036,22946,16064,0,0,11196,0,50417,9.8,13.4,0,0,14.3,18.8,25,0,18.8
1600000US5465596,Prichard- WV,region.place,2013,35938,24219,39909,39238,37313,0,0,36000,0,0,0,6.9,0,13.8,42.5,6.3,12.5,0,18.1
1600000US5409796,Bramwell- WV,region.place,2013,44904,34167,30938,14625,24044,44583,0,16429,23365,31667,6.6,22.6,0,15.1,14.2,8.5,20.8,4.7,7.5
1600000US5400196,Accoville- WV,region.place,2013,0,0,53611,44688,48207,0,0,0,0,44375,0,0,0,21.2,27.4,20.4,2.7,28.3,0
1600000US5418412,Cowen- WV,region.place,2013,24550,23600,41500,35250,25521,0,0,30227,9659,23750,0,31.3,0,16.5,32.2,13,0,7,0
1600000US5478964,Sylvester- WV,region.place,2013,46250,0,55313,29063,23398,0,0,27500,0,23594,2.5,2.5,22.2,17.3,7.4,8.6,8.6,27.2,3.7
1600000US5438260,Hometown- WV,region.place,2013,0,0,0,0,29948,0,0,0,0,0,0,0,0,45.3,0,54.7,0,0,0
1600000US5414630,Charlton Heights- WV,region.place,2013,38600,38000,52344,30909,34375,0,0,0,0,37650,0,0,0,33.3,35.1,16.2,0,15.3,0
1600000US5426524,Fairview- WV,region.place,2013,21500,17250,31875,27679,21654,36250,0,20750,0,21000,7.5,39.1,0,14.3,18.8,13.5,3,0,3.8
1600000US5469100,Robinette- WV,region.place,2013,0,17014,58882,58224,40227,0,0,59013,0,31950,0,0,0,21,33.6,16,8.4,21,0
1600000US5413108,Capon Bridge- WV,region.place,2013,30385,24028,41125,40875,33750,62083,76250,32083,0,32404,3.7,21.3,0,22.1,33.1,10.3,2.2,4.4,2.9
1600000US5432068,Glen White- WV,region.place,2013,0,0,0,0,67861,0,0,0,0,0,0,22.1,0,0,19.5,0,58.4,0,0
1600000US5444548,Kopperston- WV,region.place,2013,22782,12500,0,62750,17083,0,0,13750,0,22823,13.5,48.3,0,0,0,22.5,15.7,0,0
1600000US5431876,Glen Jean- WV,region.place,2013,0,0,0,0,21202,0,0,0,0,0,0,100,0,0,0,0,0,0,0
1600000US5424844,Ellenboro- WV,region.place,2013,21667,17679,31923,26719,19706,0,42917,19145,21786,19167,5.7,32,1.6,18.9,19.7,8.2,8.2,1.6,4.1
1600000US5406748,Berwind- WV,region.place,2013,0,0,63393,63393,27321,0,0,26429,0,0,0,36.2,0,14.9,0,14.9,0,0,34
1600000US5452372,Matheny- WV,region.place,2013,0,0,54688,29875,28000,0,0,0,0,0,0,0,0,18.2,12.7,29.1,40,0,0
1600000US5467252,Reader- WV,region.place,2013,22019,20192,95395,74559,39038,0,0,17292,0,38750,9.6,13.3,0,9.6,9.6,4.4,12.6,14.1,26.7
1600000US5433100,Great Cacapon- WV,region.place,2013,17368,20208,34000,33125,20729,0,0,24750,15823,0,0,62.7,0,14.9,12.7,9.7,0,0,0
1600000US5448748,Lost Creek- WV,region.place,2013,25000,19808,44583,40417,24766,17143,55179,26250,9688,30000,9.1,20.6,5.5,18.2,17.6,14.5,9.7,4.8,0
1600000US5481268,Tunnelton- WV,region.place,2013,15000,11111,22188,21484,19028,0,0,20917,25714,36250,13.6,35.5,4.5,19.1,14.5,1.8,1.8,5.5,3.6
1600000US5476996,Stollings- WV,region.place,2013,35119,19679,34464,34464,30556,0,0,27308,0,35298,0,22.2,0,29,33.5,9.7,0,5.7,0
1600000US5407228,Big Creek- WV,region.place,2013,32944,12222,0,30500,20714,0,0,0,0,0,0,6.9,0,67.6,0,0,25.5,0,0
